00:00:06.160 -> 00:00:07.040 | 大家好
00:03:32.310 -> 00:03:33.229 | 九个喇叭
00:03:33.229 -> 00:03:36.330 | 应该埋在这些看起来不得了的造型里了吧
00:03:36.330 -> 00:03:40.620 | 拿好我的离奇遥控器开机嗯
00:03:40.620 -> 00:03:42.780 | 完全就是个大号平板
00:03:42.780 -> 00:03:43.919 | 可以
00:03:43.919 -> 00:03:47.430 | 这界面可就比普通电视界面清爽太多了
00:03:47.430 -> 00:03:48.750 | 我还没看教程
00:03:48.750 -> 00:03:51.629 | 这个灵犀遥控器就已经被我掌握了
00:03:51.629 -> 00:03:55.030 | 基本上就是一个悬浮球替换了你的手指
00:03:55.030 -> 00:03:56.050 | 什么home键
00:03:56.050 -> 00:03:56.729 | 返回键
00:03:56.729 -> 00:03:58.689 | 三条杠都是熟悉的感觉
00:03:58.689 -> 00:04:02.469 | 最特别的是中间的确定那一块大圆盘子
00:04:02.469 -> 00:04:04.409 | 是一块微型的触控屏
00:04:04.409 -> 00:04:06.310 | 你能实现滑屏的操作
00:04:06.310 -> 00:04:08.509 | 这是真的与众不同啊
00:04:08.509 -> 00:04:11.590 | 但说实在的印度有点神鬼
00:04:11.590 -> 00:04:13.710 | 二相信你说他准吧
00:04:13.710 -> 00:04:15.409 | 又经常需要微调
00:04:15.409 -> 00:04:16.930 | 你说他不准吧
00:04:16.930 -> 00:04:20.728 | 他基本上你指哪儿就是哪儿也没延迟对
00:04:20.728 -> 00:04:23.528 | 就是在最终定位到你想要的位置的
00:04:23.528 -> 00:04:25.839 | 那一丢丢的距离会有偏差
00:04:25.839 -> 00:04:28.360 | 在大范围移动时它非常灵敏
00:04:28.360 -> 00:04:30.699 | 但落到小范围时就不跟手了
00:04:30.699 -> 00:04:32.519 | 像超强力的相机
00:04:32.519 -> 00:04:33.259 | 电子防抖
00:04:33.259 -> 00:04:34.158 | 它很稳
00:04:34.158 -> 00:04:36.139 | 不会因为你手微微晃动
00:04:36.139 -> 00:04:38.278 | 悬浮球就会跟着乱晃
00:04:38.278 -> 00:04:39.819 | 我要看爱奇艺
00:04:39.819 -> 00:04:40.980 | 我买这么贵
00:04:40.980 -> 00:04:41.459 | 一电视
00:04:41.459 -> 00:04:43.120 | 你就要看爱奇艺
00:04:43.120 -> 00:04:45.908 | 你这是平板电脑系统吗
00:04:45.908 -> 00:04:47.108 | 是啊
00:04:47.108 -> 00:04:50.069 | 那你买平板电脑不就是为了启动爱奇艺吗
00:04:50.069 -> 00:04:54.269 | 耶诶是我要看爱奇艺
00:04:56.360 -> 00:04:57.060 | 行吧
00:04:57.060 -> 00:04:58.879 | 别的功能咱们后面再看
00:04:58.879 -> 00:05:01.639 | 先来完成它作为电视的首要任务
00:05:01.639 -> 00:05:03.040 | 我去下个爱奇艺
00:05:03.040 -> 00:05:06.470 | 先当爱啪啪商城里面压根就没有爱奇艺
00:05:06.470 -> 00:05:07.629 | 不仅是爱奇艺
00:05:07.629 -> 00:05:10.430 | 没有整个商城的爱啪啪列表里边不足50个
00:05:10.430 -> 00:05:10.970 | 爱啪啪
00:05:10.970 -> 00:05:14.920 | 你敢相信我尼玛怀疑我自己买到假货了
00:05:14.920 -> 00:05:16.100 | 怎么那么大
00:05:16.100 -> 00:05:18.120 | 鸿蒙应用市场里就这么点
00:05:18.120 -> 00:05:20.920 | IPAD不是说好的手机平板系统吗
00:05:20.920 -> 00:05:21.759 | 为啥呀
00:05:21.759 -> 00:05:23.928 | 游戏这边就那么几个
00:05:23.928 -> 00:05:25.069 | 唉我问你
00:05:25.069 -> 00:05:27.060 | 我那么大一元神呢
00:05:27.060 -> 00:05:29.139 | 不是说好了上鸿蒙吗
00:05:29.139 -> 00:05:32.040 | 气得我直接一个电话打给客服退货
00:05:32.040 -> 00:05:33.399 | 什么垃圾玩意儿
00:05:35.560 -> 00:05:40.519 | 你是说是用华为手机来分享应用哦
00:05:40.519 -> 00:05:42.480 | 明白了明白了唉
00:05:42.480 -> 00:05:44.259 | 好的好的好的好的
00:05:44.540 -> 00:05:47.040 | 为了能体验完整的mate TV
00:05:47.040 -> 00:05:49.360 | 我做了一个艰难的决定
00:05:49.360 -> 00:05:51.899 | 又买了一台nova14
00:05:55.839 -> 00:05:57.779 | 那我旧手机怎么办呢
00:05:57.779 -> 00:06:01.660 | 上拍S未回收
00:06:01.660 -> 00:06:03.699 | 直播验机真实透明
00:06:03.699 -> 00:06:04.720 | 顺丰包邮
00:06:04.720 -> 00:06:05.680 | 价格公道
00:06:05.680 -> 00:06:07.860 | 童叟无欺
00:06:08.300 -> 00:06:09.379 | 手机好不好用
00:06:09.379 -> 00:06:10.040 | 不是重点啊
00:06:10.040 -> 00:06:11.519 | 重点是卓一通
00:06:11.519 -> 00:06:13.420 | 你这家伙不演了是吧
00:06:13.420 -> 00:06:15.680 | 直接就预装在了华为手机里
00:06:15.680 -> 00:06:18.399 | 所以我直接就把卓一通装电视上
00:06:18.399 -> 00:06:19.379 | 岂不美哉
00:06:19.379 -> 00:06:21.019 | 但不行
00:06:21.019 -> 00:06:22.538 | 主要一通不让装
00:06:22.538 -> 00:06:24.579 | 你这鸿蒙货不纯呐
00:06:24.579 -> 00:06:27.439 | 那通过卓一通下载的爱啪啪能装进去吗
00:06:27.439 -> 00:06:29.290 | 不行还是不行
00:06:29.290 -> 00:06:30.129 | 得了得了
00:06:30.129 -> 00:06:31.790 | 还是回自家鸿蒙app吧
00:06:31.790 -> 00:06:32.370 | 商城吧
00:06:32.370 -> 00:06:34.529 | 现在的鸿蒙东西也不少了
00:06:34.529 -> 00:06:36.279 | 我装了微信抖音
00:06:36.279 -> 00:06:36.939 | 爱奇艺
00:06:36.939 -> 00:06:38.079 | 还有王者荣耀
00:06:38.079 -> 00:06:38.980 | 原神等
00:06:38.980 -> 00:06:40.620 | 更离了大谱的是
00:06:40.620 -> 00:06:41.360 | 卓一通
00:06:41.360 -> 00:06:42.189 | 不给就算了
00:06:42.189 -> 00:06:45.110 | 居然连华为官方的浏览器都不让装
00:06:45.110 -> 00:06:47.470 | 这这不是逼我下夸克吗
00:06:47.470 -> 00:06:48.470 | 还有微信
00:06:48.470 -> 00:06:49.389 | 你几个意思
00:06:49.389 -> 00:06:50.870 | 为什么不能打开呀
00:06:50.870 -> 00:06:52.000 | 老闪退呀
00:06:52.000 -> 00:06:55.019 | 这搞得我王者荣耀都只能用QQ玩啊
00:06:55.019 -> 00:06:56.079 | 不过说到爱奇艺
00:06:56.079 -> 00:06:59.279 | 我大概知道为什么电视原始商城不让上了
00:06:59.279 -> 00:07:01.720 | 你看我装的这个爱奇艺就是手机版
00:07:01.720 -> 00:07:04.329 | 爱奇艺不是什么银河奇异果
00:07:04.329 -> 00:07:07.310 | 等于你爱奇艺会员不需要使用白金的
00:07:07.310 -> 00:07:08.730 | 只需要黄金就好
00:07:08.730 -> 00:07:13.060 | 所以如果所有厂商都把电视做成手机平板系统
00:07:13.060 -> 00:07:14.319 | 这些个爱奇艺啊
00:07:14.319 -> 00:07:15.399 | 腾讯视频啊
00:07:15.399 -> 00:07:17.019 | 都要少赚多少钱呢
00:07:17.019 -> 00:07:19.660 | 所以你觉得他们会愿意做这件事吗
00:07:19.660 -> 00:07:23.120 | 哎好在华为自家有鸿蒙邪修哈
00:07:23.120 -> 00:07:24.660 | 装还是装上了
00:07:24.660 -> 00:07:26.240 | 使用起来也非常流畅
00:07:26.240 -> 00:07:27.300 | 但是哈
00:07:27.300 -> 00:07:30.600 | 电视本身预设的多个画面风格都不怎么好看
00:07:30.600 -> 00:07:31.819 | 比如什么游戏啊
00:07:31.819 -> 00:07:32.600 | 电脑啊
00:07:32.600 -> 00:07:33.699 | 电影啊这些
00:07:33.699 -> 00:07:36.459 | 那我现在是选了电影的画面风格
00:07:36.459 -> 00:07:38.720 | 画面色调倒是更有电影感了
00:07:38.720 -> 00:07:41.240 | 可我觉得对比度似乎太高了
00:07:41.240 -> 00:07:42.860 | 低光区域接近死黑
00:07:42.860 -> 00:07:44.519 | 比电影院里还黑
00:07:44.519 -> 00:07:47.920 | 虽然你能在后台调整它的伽马值以及对比度
00:07:47.920 -> 00:07:51.360 | 但是你不如直接使用这个大师原彩风格
00:07:51.360 -> 00:07:53.860 | 几乎适配所有观看体验的东西
00:07:53.860 -> 00:07:55.040 | 不仅是电影
00:07:55.040 -> 00:07:55.759 | 电视剧
00:07:55.759 -> 00:07:56.879 | 包括玩游戏
00:07:56.879 -> 00:08:00.680 | 这个大师原彩都是最舒服的
00:08:03.040 -> 00:08:04.439 | 至于什么色温啊
00:08:04.439 -> 00:08:06.959 | 偏色啥的调都可以调整
00:08:06.959 -> 00:08:08.899 | 按自己喜欢的来就行
00:08:08.899 -> 00:08:10.870 | 我要看片
00:08:11.029 -> 00:08:12.670 | 你要看什么
00:08:12.670 -> 00:08:13.629 | 看片儿
00:08:13.629 -> 00:08:15.430 | 看最新的美国大片
00:08:15.430 -> 00:08:18.620 | 哎要看片啊
00:08:18.620 -> 00:08:21.079 | 我还以为要你要看片呢
00:08:21.079 -> 00:08:23.040 | 嗯我给你找
00:08:34.720 -> 00:08:37.340 | 当我准备插硬盘的时候
00:08:37.340 -> 00:08:39.450 | 我又发现一个很奇怪的地方
00:08:39.450 -> 00:08:44.389 | 它只提供给你两个USB2.0接口和两个HDMI接口
00:08:44.389 -> 00:08:46.350 | 且不说够不够用的问题
00:08:46.350 -> 00:08:50.870 | 这USB2.0虽然大部分蓝光电影能够读写
00:08:50.870 -> 00:08:53.450 | 但是我要是真的下了一部8K片源
00:08:53.450 -> 00:08:55.009 | 码率高的离谱的电影
00:08:55.009 -> 00:08:55.799 | 你怎么办
00:08:55.799 -> 00:08:57.360 | 是我是有点极端了
00:08:57.360 -> 00:09:00.120 | 但是你几千块的电视都给的3.0接口
00:09:00.120 -> 00:09:03.080 | 为什么1万5的电视却只有2.0呢
00:09:03.080 -> 00:09:04.080 | 我可以不用
00:09:04.080 -> 00:09:05.200 | 你不能不给吧
00:09:05.200 -> 00:09:07.318 | 你这与众不同的方向错了吧
00:09:07.318 -> 00:09:09.119 | 接下来更离谱的事情出来了
00:09:09.119 -> 00:09:11.658 | 我的片源是多音轨和多字幕的
00:09:11.658 -> 00:09:15.960 | 但是咱们mate TV默认的播放器似乎读不到多音轨
00:09:15.960 -> 00:09:17.779 | 甚至读取不到字幕信息
00:09:17.779 -> 00:09:21.710 | 我感觉自己有一点儿不对劲
00:09:21.710 -> 00:09:22.990 | 哇嘞个豆
00:09:22.990 -> 00:09:24.289 | 你作为一个电视
00:09:24.289 -> 00:09:26.460 | 首先要做的像一个电视啊
00:09:26.460 -> 00:09:27.399 | 那咋整
00:09:27.399 -> 00:09:29.039 | 去下第三方播放器呀
00:09:29.039 -> 00:09:31.919 | 然后爱啪啪商城里压根就没有播放器
00:09:31.919 -> 00:09:33.659 | 我还要用手机下一个
00:09:33.659 -> 00:09:35.179 | 然后分享到电视上
00:09:35.179 -> 00:09:38.860 | 不过好在有那么一个还算过得去的播放器
00:09:40.899 -> 00:09:43.120 | Now we have to get rid of all this stuff
00:09:43.120 -> 00:09:44.919 | Do you think i like taking orders
00:09:44.919 -> 00:09:47.700 | 终于是可以好好的看个电影了
00:09:48.190 -> 00:09:51.070 | 我怎么产生了一种费尽千辛万苦
00:09:51.070 -> 00:09:53.789 | 解决一切难题之后的喜悦感呢
00:09:53.789 -> 00:09:55.649 | 嘶哇哦
00:09:55.649 -> 00:09:58.940 | 这货的声音是真的可以啊
00:10:15.759 -> 00:10:19.360 | 虽然他肯定比不了你家那上万元的立体声音箱
00:10:19.360 -> 00:10:21.759 | 但这可是电视自带的音箱啊
00:10:21.759 -> 00:10:22.799 | 已经很好了
00:10:22.799 -> 00:10:24.279 | 有了那么一点空间感
00:10:24.279 -> 00:10:26.240 | 关键是低音有被听到了
00:10:26.240 -> 00:10:27.379 | 没那么干涩
00:10:27.379 -> 00:10:28.840 | 质感也比较丰满
00:10:28.840 -> 00:10:33.779 | 财力不那么雄厚的朋友可以先不买音箱了
00:10:34.659 -> 00:10:35.620 | 我要打王者
00:10:36.820 -> 00:10:40.179 | 打打打打打打都可以打
00:10:41.129 -> 00:10:43.210 | 原神启动
00:10:43.889 -> 00:10:45.489 | 我说我要打王者
00:10:45.489 -> 00:10:46.948 | 你别急嘛
00:10:46.948 -> 00:10:48.460 | 你得排队
00:10:48.460 -> 00:10:49.980 | 你等会儿再玩
00:10:49.980 -> 00:10:50.879 | 不急哈
00:10:50.879 -> 00:10:53.860 | 诶哇是低画质呢对啊
00:10:53.860 -> 00:10:56.399 | 那不然呢这块芯片是麒麟9020
00:10:56.399 -> 00:10:57.159 | 它不差
00:10:57.159 -> 00:10:59.000 | 但是咱们这块屏幕大呀
00:10:59.000 -> 00:11:01.340 | 如果把60帧以及高画质打开
00:11:01.340 -> 00:11:03.600 | 首先是直接把内存拉满了
00:11:03.600 -> 00:11:07.620 | 然后实际表现就是诶你以为我要说拉是吧
00:11:07.620 -> 00:11:08.860 | 不他可以
00:11:08.860 -> 00:11:09.940 | 他稳60
00:11:09.940 -> 00:11:11.299 | 但是由于是手机版
00:11:11.299 -> 00:11:15.120 | 原神实际画面效果和清晰度是不如PC或PS的
00:11:15.120 -> 00:11:17.940 | 好在它能跑跑的不差就对了
00:11:17.940 -> 00:11:19.529 | 哎但是你也看到了
00:11:19.529 -> 00:11:22.269 | 那我们怎么实现在电视上玩原神的呢
00:11:22.269 -> 00:11:25.379 | 那就是通过这个叫灵犀悬浮触控的东西
00:11:25.379 -> 00:11:26.159 | 我嘞个豆
00:11:26.159 -> 00:11:30.139 | 这家伙一出来玩手柄的和玩手游的都沉默了
00:11:30.139 -> 00:11:31.379 | 我怎么解释呢
00:11:31.379 -> 00:11:34.370 | 大概可以理解为蓝牙触控板连接之后
00:11:34.370 -> 00:11:36.610 | 这个板子就像是电视屏幕一样
00:11:36.610 -> 00:11:38.690 | 你的手指会被映射在屏幕上
00:11:38.690 -> 00:11:41.019 | 最多两根啊
00:11:42.840 -> 00:11:44.860 | 他这家伙还带了俩尖剑
00:11:44.860 -> 00:11:47.220 | 说是按这个键就可以映射
00:11:47.220 -> 00:11:50.019 | 但是基本上很少有游戏能映射
00:11:50.019 -> 00:11:52.679 | 连原神这样的动作游戏都无法映射
00:11:52.679 -> 00:11:54.860 | 实在是鸡肋中的鸡肋
00:11:54.860 -> 00:11:56.940 | 而且这个板子是有延迟的
00:11:56.940 -> 00:11:58.340 | 适应倒是可以适应
00:11:58.340 -> 00:12:00.399 | 但另一样东西却很难适应
00:12:00.399 -> 00:12:02.740 | 就是你其实属于半盲的状态
00:12:02.740 -> 00:12:03.740 | 在玩游戏
00:12:03.740 -> 00:12:05.700 | 特别是键位比较多的游戏
00:12:05.700 -> 00:12:09.279 | 你很难一次性就把手指放在你想按的位置
00:12:09.279 -> 00:12:11.599 | 挪过去之后多半要微调
00:12:11.599 -> 00:12:13.958 | 所以精准度就会大打折扣
00:12:13.958 -> 00:12:17.799 | 你会很在意自己那两根虚拟手指是否按到位
00:12:17.799 -> 00:12:21.460 | 而且像王者这种有的技能需要精准释放的
00:12:21.460 -> 00:12:23.558 | 更是很难实现一切
00:12:23.558 -> 00:12:26.979 | 你熟悉的不管是搓玻璃还是搓手柄的方式
00:12:26.979 -> 00:12:29.239 | 在此刻都难以适应
00:12:29.239 -> 00:12:30.038 | 简单来说
00:12:30.038 -> 00:12:32.620 | 你想用这个东西把游戏玩好
00:12:32.620 -> 00:12:34.240 | 就得烧高香了
00:12:34.240 -> 00:12:35.000 | 总体而言
00:12:35.000 -> 00:12:37.179 | 这个灵犀悬浮的确是解决了
00:12:37.179 -> 00:12:39.899 | 在大电视上玩搓玻璃游戏的问题
00:12:39.899 -> 00:12:42.259 | 只是目前的表现还不太行
00:12:42.259 -> 00:12:45.659 | 反倒是哎用咱们这个灵犀遥控器
00:12:45.659 -> 00:12:48.990 | 玩一些单点就能玩的游戏就非常合适
00:12:48.990 -> 00:12:50.850 | 你看这就很舒服
00:12:50.850 -> 00:12:52.980 | 很悠哉啊
00:12:53.879 -> 00:12:55.700 | 你别看我吐槽了这么多
00:12:55.700 -> 00:12:57.559 | 但我只是把目前这个电视
00:12:57.559 -> 00:13:00.320 | 我遇到的所有问题都点出来了而已
00:13:00.320 -> 00:13:01.340 | 可这段时间
00:13:01.340 -> 00:13:05.690 | 华为mate TV pro已经成为我家庭娱乐首选设备
00:13:05.690 -> 00:13:08.289 | 首先是他将手机系统做进电视
00:13:08.289 -> 00:13:10.970 | 这件事已经就是突破了行业技术
00:13:10.970 -> 00:13:12.960 | 这一点的确遥遥领先
00:13:12.960 -> 00:13:16.299 | 我不知道行业里其他厂家为什么没人开先河
00:13:16.299 -> 00:13:19.980 | 都在守着老旧的满屏广告的电视系统继续用
00:13:23.940 -> 00:13:26.500 | 它的精度的确没有手去点来得高
00:13:26.500 -> 00:13:30.190 | 但是华为这个灵犀遥控已经表现的很不错了
00:13:30.190 -> 00:13:32.649 | 它甚至还有底部上滑切程序
00:13:32.649 -> 00:13:34.149 | 顶部下滑设置栏
00:13:34.149 -> 00:13:35.889 | 左右边缘滑返回
00:13:35.889 -> 00:13:38.879 | 这些都是我们熟悉的不能再熟悉的操作
00:13:38.879 -> 00:13:41.080 | 我觉得下一次迭代就很简单
00:13:41.080 -> 00:13:43.700 | 就是把它做到更跟手就好了呀
00:13:43.700 -> 00:13:45.500 | 关键是在这样的系统下
00:13:45.500 -> 00:13:47.328 | 你的可自定义程度很高
00:13:47.328 -> 00:13:48.828 | 就像你自己的手机
00:13:48.828 -> 00:13:50.668 | 你可以更改自己的桌面
00:13:50.668 -> 00:13:53.129 | 你可以下喜欢的爱啪啪刷抖音
00:13:53.129 -> 00:13:53.860 | 刷微博
00:13:53.860 -> 00:13:56.600 | 或当一个大号的蓝牙音乐播放终端
00:13:56.600 -> 00:13:59.710 | 你可以用它控制你家的华为物联网设备
00:13:59.710 -> 00:14:02.049 | 当然它也是一个正常的电视
00:14:02.049 -> 00:14:03.409 | 在系统突破的同时
00:14:03.409 -> 00:14:04.529 | 硬件也没落下
00:14:04.529 -> 00:14:05.470 | 画面精细度
00:14:05.470 -> 00:14:07.279 | 声音表现力都很不错
00:14:07.279 -> 00:14:10.019 | 看电影玩游戏都是很棒的体验
00:14:10.019 -> 00:14:12.039 | 而且你如果财力雄厚
00:14:12.039 -> 00:14:14.279 | 还可以买华为自家的NAS
00:14:14.279 -> 00:14:17.460 | 直接通过mate TV的智慧生活就可以用了
00:14:17.460 -> 00:14:20.000 | 省略了插USB看电影的步骤
00:14:20.000 -> 00:14:22.600 | 它才像是2025年的电视
00:14:22.600 -> 00:14:24.899 | 而且我们需要交互更现代化
00:14:24.899 -> 00:14:27.200 | 更符合平时使用习惯的设备
00:14:27.200 -> 00:14:30.860 | 我们也不是真把它当平板或当手机游戏设备
00:14:30.860 -> 00:14:33.159 | 它更多的还是一个电视系统
00:14:33.159 -> 00:14:35.700 | 一个大号的全屋智慧中枢
00:14:35.700 -> 00:14:37.539 | 这个方向绝对是对的
00:14:37.539 -> 00:14:39.879 | 正使目前它还存在很多限制
00:14:39.879 -> 00:14:43.600 | 但华为至少做了那么值不值得买呢
00:14:43.600 -> 00:14:45.600 | 它也不一定适合所有人
00:14:45.600 -> 00:14:48.279 | 虽然我觉得他的学习成本已经足够低了
00:14:48.279 -> 00:14:50.320 | 但是一个1万多的电视
00:14:50.320 -> 00:14:53.879 | 你多半会拿它作为客厅的主要电视来使用
00:14:53.879 -> 00:14:56.139 | 如果都是年轻人就还好
00:14:56.139 -> 00:14:59.379 | 可家里如果有早已习惯老旧智能电视
00:14:59.379 -> 00:15:02.200 | 甚至没有用惯智能手机的老年人
00:15:02.200 -> 00:15:04.240 | 可能不太好适应这样的操作
00:15:04.240 -> 00:15:08.529 | 毕竟这个年龄段的群体也是电视的主要使用者
00:15:08.529 -> 00:15:10.169 | 如果你恰好财力雄厚
00:15:10.169 -> 00:15:12.870 | 而且也是华为智慧生活的用户
00:15:12.870 -> 00:15:16.230 | 这个电视就是你家庭拼图里不可或缺的东西
00:15:16.230 -> 00:15:18.139 | 但如果你并非鸿蒙用户
00:15:18.139 -> 00:15:20.519 | 或者你的需求只是看看电视
00:15:20.519 -> 00:15:22.879 | 别的智能功能用手机就行
00:15:22.879 -> 00:15:24.169 | 那别买
00:15:24.169 -> 00:15:26.629 | 还有那个灵犀悬浮板很酷
00:15:26.629 -> 00:15:28.389 | 但目前的作用并不大
00:15:28.389 -> 00:15:29.750 | 所以真要买
00:15:29.750 -> 00:15:32.470 | 你也可以考虑非pro版的mate TV
00:15:32.470 -> 00:15:34.409 | 省不少钱呢
00:15:34.409 -> 00:15:38.769 | test维主观综合评分7.25分
00:15:40.639 -> 00:15:42.720 | 那天你尝一下我那个冷吃麻辣鱼
00:15:42.720 -> 00:15:44.149 | 豆辣辣的啊
00:15:44.149 -> 00:15:46.730 | 我不吃好吃很上嘛
00:15:46.730 -> 00:15:47.690 | 不吃辣的嘛
00:15:47.690 -> 00:15:49.450 | 你又不是不晓得那么多辣椒
00:15:49.450 -> 00:15:52.504 | 少吃吃都辣么多
00:15:52.549 -> 00:15:53.629 | 现在不会走动你的心
00:15:53.629 -> 00:15:53.950 | 茶好了
00:15:53.950 -> 00:15:54.639 | 他不会走
00:16:11.240 -> 00:16:14.179 | 六人生还给我点刀子
00:16:14.179 -> 00:16:15.679 | 中国话
00:16:15.679 -> 00:16:17.639 | 你以为你听到
00:16:21.210 -> 00:16:22.809 | 我牛肉啊
00:16:23.809 -> 00:16:26.370 | 我晓得根在哪的嘛
00:16:26.370 -> 00:16:27.570 | 你不晓得呀
00:16:28.850 -> 00:16:33.960 | 你不晓得一小袋哪里够吃
00:16:33.960 -> 00:16:34.919 | 吃大包底
00:16:35.960 -> 00:16:38.440 | 开始对冷吃麻辣牛肉
00:16:42.320 -> 00:16:43.559 | 好节目看完了
00:16:43.559 -> 00:16:46.200 | 那么你觉得这个mate TV怎么样呢
00:16:46.200 -> 00:16:48.320 | 别忘了在视频下方的简介中寻找链接
00:16:48.320 -> 00:16:49.269 | 给他打分呐
00:16:49.269 -> 00:16:52.970 | 那么本期啪啪啪啪的就是这个华为mate TV
